diagnosis_date,Travel overseas,In AU unknown source,Under investigation,Contact with a confirmed case
2021-03-08,1,0,0,0
2021-03-09,0,0,0,0
2021-03-10,0,0,0,0
2021-03-11,0,0,0,0
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,0,0,0,0
2021-03-15,0,0,0,0
2021-03-16,0,0,0,0
2021-03-17,0,0,0,0
2021-03-18,0,0,0,0
2021-03-19,0,0,0,0
2021-03-20,0,0,0,0
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,0,0,0,0
2021-03-25,0,0,0,0
2021-03-26,0,0,0,0
2021-03-27,0,0,0,0
2021-03-28,1,0,0,0
2021-03-29,0,0,0,0
2021-03-30,0,0,0,0
2021-03-31,0,0,0,0
2021-04-01,0,0,0,0
2021-04-02,0,0,0,0
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,0,0,0,0
2021-04-06,0,0,0,0
2021-04-07,0,0,0,0
2021-04-08,0,0,0,0
2021-04-09,1,0,0,0
2021-04-10,0,0,0,0
2021-04-11,2,0,0,0
2021-04-12,0,0,0,0
2021-04-13,0,0,0,0
2021-04-14,5,0,0,0
2021-04-15,0,0,0,0
2021-04-16,3,0,0,0
2021-04-17,0,0,0,0
2021-04-18,4,0,0,0
2021-04-19,1,0,0,0
2021-04-20,3,0,0,0
2021-04-21,2,0,0,0
2021-04-22,2,0,0,0
2021-04-23,1,0,0,1
2021-04-24,1,0,0,0
2021-04-25,0,0,0,0
2021-04-26,4,0,0,0
2021-04-27,2,0,0,0
2021-04-28,1,0,0,0
2021-04-29,2,0,0,0
2021-04-30,3,0,0,0
2021-05-01,1,0,0,0
2021-05-02,1,0,0,0
2021-05-03,1,0,0,0
2021-05-04,0,0,0,0
2021-05-05,2,0,0,0
2021-05-06,0,0,0,0
2021-05-07,1,0,0,0
2021-05-08,5,0,0,0
2021-05-09,2,0,0,0
2021-05-10,1,0,0,0
2021-05-11,0,0,0,1
2021-05-12,1,0,0,0
2021-05-13,1,0,0,0
2021-05-14,1,0,0,0
2021-05-15,4,0,0,0
2021-05-16,1,0,0,0
2021-05-17,0,0,0,0
2021-05-18,1,0,0,0
2021-05-19,0,0,0,0
2021-05-20,0,0,0,0
2021-05-21,0,0,0,0
2021-05-22,1,0,0,0
2021-05-23,1,0,0,0
2021-05-24,0,0,0,4
2021-05-25,0,1,0,9
2021-05-26,0,0,0,12
2021-05-27,2,0,0,4
2021-05-28,2,0,0,4
2021-05-29,1,1,0,4
2021-05-30,0,0,0,5
2021-05-31,1,1,0,8
2021-06-01,0,1,0,5
2021-06-02,0,0,0,3
2021-06-03,2,0,0,4
2021-06-04,0,1,0,4
2021-06-05,6,0,0,2
2021-06-06,0,0,0,11
2021-06-07,1,0,0,2
2021-06-08,0,0,0,1
2021-06-09,0,0,0,4
2021-06-10,1,0,0,0
2021-06-11,3,0,0,1
2021-06-12,0,0,0,1
2021-06-13,4,0,0,2
2021-06-14,3,0,0,0
2021-06-15,3,0,0,5
2021-06-16,1,0,0,0
2021-06-17,1,0,0,1
2021-06-18,1,0,0,2
2021-06-19,1,0,0,0
2021-06-20,7,0,0,1
2021-06-21,1,0,0,0
2021-06-22,1,0,0,0
2021-06-23,2,0,0,1
2021-06-24,0,0,0,2
2021-06-25,2,0,0,1
2021-06-26,2,0,0,0
2021-06-27,2,0,0,0
2021-06-28,2,0,0,0
2021-06-29,1,0,0,1
2021-06-30,0,0,0,0
2021-07-01,3,0,0,0
2021-07-02,0,0,0,0
2021-07-03,1,0,0,0
2021-07-04,2,0,0,0
2021-07-05,2,0,0,0
2021-07-06,0,0,0,0
2021-07-07,0,0,0,0
2021-07-08,1,0,0,0
2021-07-09,3,0,0,0
2021-07-10,0,0,0,0
2021-07-11,0,0,0,0
2021-07-12,0,0,0,3
2021-07-13,1,0,0,1
2021-07-14,0,0,0,10
2021-07-15,1,0,0,9
2021-07-16,0,0,0,20
2021-07-17,2,0,0,16
2021-07-18,1,0,0,13
2021-07-19,2,0,0,13
2021-07-20,1,0,0,22
2021-07-21,2,0,0,25
2021-07-22,0,0,0,14
2021-07-23,0,0,0,12
2021-07-24,1,0,0,11
2021-07-25,1,0,0,11
2021-07-26,0,0,0,10
2021-07-27,0,0,0,8
2021-07-28,0,0,0,7
2021-07-29,0,0,0,3
2021-07-30,0,0,0,2
2021-07-31,0,0,0,4
2021-08-01,0,0,0,2
2021-08-02,1,0,0,4
2021-08-03,0,0,0,1
2021-08-04,0,2,0,4
2021-08-05,0,0,0,6
2021-08-06,0,0,0,29
2021-08-07,1,0,0,11
2021-08-08,0,0,0,11
2021-08-09,0,0,0,20
2021-08-10,0,1,0,19
2021-08-11,0,1,0,22
2021-08-12,0,1,0,14
2021-08-13,0,1,0,20
2021-08-14,0,1,0,24
2021-08-15,0,1,0,21
2021-08-16,0,0,0,24
2021-08-17,0,0,0,24
2021-08-18,0,1,0,56
2021-08-19,2,3,0,51
2021-08-20,0,6,0,55
2021-08-21,1,2,0,62
2021-08-22,0,3,0,62
2021-08-23,1,5,0,42
2021-08-24,0,7,0,38
2021-08-25,0,7,0,72
2021-08-26,0,12,0,69
2021-08-27,0,9,0,53
2021-08-28,1,12,0,73
2021-08-29,0,8,8,56
2021-08-30,0,0,17,55
2021-08-31,0,0,37,83
2021-09-01,0,0,50,126
2021-09-02,1,1,61,141
2021-09-03,0,0,54,133
2021-09-04,2,0,48,126
2021-09-05,0,1,70,170
2021-09-06,0,0,73,171
2021-09-07,0,1,74,141
2021-09-08,0,0,104,212
2021-09-09,0,0,117,218
2021-09-10,0,0,182,256
2021-09-11,0,0,146,237
2021-09-12,0,1,137,324
2021-09-13,0,4,140,293
2021-09-14,0,1,151,241
2021-09-15,0,0,170,328
2021-09-16,1,2,209,297
2021-09-17,0,0,187,321
2021-09-18,0,0,195,302
2021-09-19,0,1,202,355
2021-09-20,0,4,223,355
2021-09-21,0,0,234,379
2021-09-22,0,3,343,411
2021-09-23,0,0,312,404
2021-09-24,0,1,342,496
2021-09-25,0,0,342,425
2021-09-26,0,0,281,414
2021-09-27,0,1,409,575
2021-09-28,0,0,444,494
2021-09-29,0,6,688,731
2021-09-30,0,2,534,599
2021-10-01,0,11,737,718
2021-10-02,0,2,580,632
2021-10-03,0,9,661,705
2021-10-04,0,12,851,884
2021-10-05,0,6,661,724
2021-10-06,0,19,797,797
2021-10-07,0,15,895,873
2021-10-08,0,17,946,975
2021-10-09,1,16,950,887
2021-10-10,1,9,739,839
2021-10-11,0,6,738,685
2021-10-12,0,6,759,771
2021-10-13,0,1,1172,1091
2021-10-14,0,3,1095,1036
2021-10-15,0,7,923,1010
2021-10-16,0,6,820,956
2021-10-17,2,1,922,961
2021-10-18,0,12,825,866
2021-10-19,1,4,856,900
2021-10-20,2,14,1061,1048
2021-10-21,0,15,1060,1031
2021-10-22,2,11,848,829
2021-10-23,0,5,853,1006
2021-10-24,0,12,633,765
2021-10-25,0,9,734,710
2021-10-26,0,2,710,760
2021-10-27,0,16,920,933
2021-10-28,1,9,790,803
2021-10-29,0,15,589,694
2021-10-30,0,19,468,528
2021-10-31,0,18,557,850
2021-11-01,0,16,420,529
2021-11-02,0,14,427,483
2021-11-03,0,24,536,660
2021-11-04,0,22,607,678
2021-11-05,0,33,580,622
2021-11-06,0,25,492,630
2021-11-07,0,27,495,585
2021-11-08,0,22,492,526
2021-11-09,0,24,484,477
2021-11-10,0,33,721,549
2021-11-11,1,21,587,496
2021-11-12,0,22,636,543
2021-11-13,0,28,428,438
2021-11-14,0,16,425,409
2021-11-15,0,16,379,396
2021-11-16,0,22,504,464
2021-11-17,0,23,547,428
2021-11-18,0,27,666,575
2021-11-19,0,25,608,527
2021-11-20,0,18,605,640
2021-11-21,0,12,484,519
2021-11-22,0,12,394,413
2021-11-23,1,17,633,538
2021-11-24,0,12,705,533
2021-11-25,0,1,856,487
2021-11-26,0,1,785,450
2021-11-27,1,0,793,267
